StartDateTime;EndDateTime;Task;Number of calls (N);Min wait (ms);Max wait (ms);Mean wait (ms);Tps;Mean * N;Success rate (%);Number of failures;Number of errors;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.30.heartbeat.cpm_partition__1.notification_data;201;0.04;0.18;0.06;0.34;11;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.62.getRecursiveIterator.cil.storageconfig;8;0.65;4.89;1.28;0.03;10;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.repair.system_locks.lock_priority;10;0.31;4.01;0.86;0.02;8;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.29.heartbeat.cpm_partition__3.notification_data;200;0.03;0.24;0.04;0.33;8;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.14.getRecursiveIterator.cil.storageconfig;8;0.50;2.20;0.88;0.04;7;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.repair.system_locks.lock_priority;8;0.34;1.68;0.83;0.01;6;100.00;0;0;
2019-08-05T16:26;2019-08-05T16:27;cil-10.61.80.25.getRecursiveIterator.cil.storageconfig;8;0.48;1.96;0.80;0.13;6;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.14.getDataListForSegment.cil.storageconfig;1;6.41;6.41;6.41;0.00;6;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.12.getDataListForSegment.cil.functioncontrol;1;6.76;6.76;6.76;0.00;6;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.repair.system_locks.lock_priority;9;0.31;1.67;0.59;0.02;5;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.12.getRecursiveIterator.cil.storageconfig;8;0.42;1.87;0.71;0.03;5;100.00;0;0;
2019-08-05T16:26;2019-08-05T16:27;cil-10.61.80.25.getDataListForSegment.cil.functioncontrol;1;5.39;5.39;5.39;0.02;5;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.6.repair.runpolicy.reject_configuration;3;0.30;2.87;1.38;0.01;4;100.00;0;0;
2019-08-05T16:26;2019-08-05T16:27;cil-10.61.80.25.sync-get.cil.clientconnection;1;2.19;2.19;2.19;0.02;2;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.62.getDataListForSegment.cil.functioncontrol;1;2.60;2.60;2.60;0.00;2;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.14.getDataListForSegment.cil.functioncontrol;1;2.23;2.23;2.23;0.00;2;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.6.sync-getList.cil.clientconnection;2;0.88;0.98;0.93;0.01;1;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.12.sync-get.cil.clientconnection;1;1.44;1.44;1.44;0.00;1;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.7.repair.runpolicy.reject_configuration;2;0.89;0.90;0.89;0.00;1;100.00;0;0;
2019-08-05T16:17;2019-08-05T16:27;cil-10.61.80.8.repair.runpolicy.reject_configuration;5;0.06;0.93;0.27;0.01;1;100.00;0;0;
2019-08-05T16:21;2019-08-05T16:27;cil-10.61.80.28.poll.trm.notification_data;1;1.90;1.90;1.90;0.00;1;100.00;0;0;
2019-08-05T16:26;2019-08-05T16:27;cil-10.61.80.25.sync-put.cil.clientconnection;1;0.45;0.45;0.45;0.02;0;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.12.sync-put.cil.clientconnection;1;0.40;0.40;0.40;0.00;0;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.7.sync-getList.cil.clientconnection;2;0.48;0.51;0.49;0.01;0;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.8.sync-getList.cil.clientconnection;2;0.48;0.50;0.49;0.01;0;100.00;0;0;
2019-08-05T16:26;2019-08-05T16:27;cil-10.61.80.25.send.insertRecord.cil.notification_data;1;0.12;0.12;0.12;0.02;0;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.14.send.insertRecord.cil.notification_data;1;0.13;0.13;0.13;0.00;0;100.00;0;0;
2019-08-05T16:22;2019-08-05T16:27;cil-10.61.80.12.send.insertRecord.cil.notification_data;1;0.16;0.16;0.16;0.00;0;100.00;0;0;
2019-08-05T16:23;2019-08-05T16:27;cil-10.61.80.62.send.insertRecord.cil.notification_data;1;0.17;0.17;0.17;0.00;0;100.00;0;0;
2019-08-05T16:18;2019-08-05T16:27;cil-10.61.80.28.poll.cil.notification_data;4;0.10;0.39;0.18;0.01;0;100.00;0;0;
