pod,timestamp,value
eric-bss-cil-database-cd-cil1-rack1-0,1669203845.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203845.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203845.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203845.286,0.004055269
eric-bss-cil-database-cd-cil1-rack1-0,1669203852.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203852.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203852.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203852.286,0.004055269
eric-bss-cil-database-cd-cil1-rack1-0,1669203859.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203859.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203859.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203859.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203866.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203866.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203866.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203866.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203873.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203873.286,0.002816159
eric-bss-cil-database-cd-cil1-rack3-0,1669203873.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203873.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203880.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203880.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203880.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203880.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203887.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203887.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203887.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203887.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203894.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203894.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669203894.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203894.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203901.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203901.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669203901.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203901.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203908.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203908.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203908.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203908.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203915.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203915.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203915.286,0.003379391
eric-bss-cil-database-cd-cil1-rack4-0,1669203915.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203922.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203922.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203922.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203922.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203929.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203929.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203929.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203929.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203936.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203936.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203936.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203936.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203943.286,0.043388627
