#                                    _                                            _
#   ___ __ _ ___ ___  __ _ _ __   __| |_ __ __ _        _____  ___ __   ___  _ __| |_ ___ _ __
#  / __/ _` / __/ __|/ _` | '_ \ / _` | '__/ _` |_____ / _ \ \/ / '_ \ / _ \| '__| __/ _ \ '__|
# | (_| (_| \__ \__ \ (_| | | | | (_| | | | (_| |_____|  __/>  <| |_) | (_) | |  | ||  __/ |
#  \___\__,_|___/___/\__,_|_| |_|\__,_|_|  \__,_|      \___/_/\_\ .__/ \___/|_|   \__\___|_|
#                                                               |_|
#
# TYPE cassandra_node_operation_latency_seconds summary
# HELP cassandra_process_recent_cpu_load_ratio "Recent" (as defined by the JVM) CPU usage for the Cassandra JVM process.
# TYPE cassandra_process_recent_cpu_load_ratio gauge
cassandra_process_recent_cpu_load_ratio{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.050763603 1670359387046

# HELP cassandra_process_cpu_seconds_total Cumulative CPU time used by the Cassandra JVM process.
# TYPE cassandra_process_cpu_seconds_total gauge
cassandra_process_cpu_seconds_total{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 120.64 1670359387046

# HELP cassandra_os_memory_bytes_total Total physical memory available (as seen by the Cassandra JVM process).
# TYPE cassandra_os_memory_bytes_total gauge
cassandra_os_memory_bytes_total{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 2.1474836E9 1670359387046

# HELP cassandra_os_free_memory_bytes Amount of free physical memory available (as seen by the Cassandra JVM process).
# TYPE cassandra_os_free_memory_bytes gauge
cassandra_os_free_memory_bytes{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 1.183191E9 1670359387046

# HELP cassandra_os_swap_bytes_total Total swap space available (as seen by the Cassandra JVM process).
# TYPE cassandra_os_swap_bytes_total gauge
cassandra_os_swap_bytes_total{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.0 1670359387046

# HELP cassandra_os_free_swap_bytes Amount of free swap space available (as seen by the Cassandra JVM process).
# TYPE cassandra_os_free_swap_bytes gauge
cassandra_os_free_swap_bytes{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.0 1670359387046

# HELP cassandra_os_recent_cpu_load_ratio "Recent" (as defined by the JVM) CPU usage for the system (as seen by the Cassandra JVM process).
# TYPE cassandra_os_recent_cpu_load_ratio gauge
cassandra_os_recent_cpu_load_ratio{cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.10065823 1670359387046

# HELP cassandra_client_request_latency_seconds Request latency.
# TYPE cassandra_client_request_latency_seconds summary
cassandra_client_request_latency_seconds_sum{operation="write",consistency="TWO",cassandra_cluster="eric-bss-cil-database-cd",cassandra_node="192.168.225.83:7001",cassandra_datacenter="cil1",cassandra_rack="rack1"} 0.0 1670359387046
