operation,client,data,timestamp,value
putBatch,blob,cilrate/blob,1669204118.286,0.0030421524967191916
get,blob,cilrate/blob,1669204125.286,0.003729616710526316
put,blob,cilrate/blob,1669204125.286,NaN
putBatch,blob,cilrate/blob,1669204125.286,0.0030421524967191916
get,blob,cilrate/blob,1669204132.286,0.0021546633801944274
put,blob,cilrate/blob,1669204132.286,NaN
putBatch,blob,cilrate/blob,1669204132.286,0.0017334155483783701
get,blob,cilrate/blob,1669204139.286,0.0021546633801944274
put,blob,cilrate/blob,1669204139.286,NaN
putBatch,blob,cilrate/blob,1669204139.286,0.0017334155483783701
get,blob,cilrate/blob,1669204146.286,0.0021546633801944274
put,blob,cilrate/blob,1669204146.286,NaN
putBatch,blob,cilrate/blob,1669204146.286,0.0017334155483783701
get,blob,cilrate/blob,1669204153.286,0.0024403451871637203
put,blob,cilrate/blob,1669204153.286,NaN
putBatch,blob,cilrate/blob,1669204153.286,0.0018972493819993611
get,blob,cilrate/blob,1669204160.286,0.0024403451871637203
put,blob,cilrate/blob,1669204160.286,NaN
putBatch,blob,cilrate/blob,1669204160.286,0.0018972493819993611
get,blob,cilrate/blob,1669204167.286,0.007830471221720921
put,blob,cilrate/blob,1669204167.286,NaN
putBatch,blob,cilrate/blob,1669204167.286,0.006302261947590593
get,blob,cilrate/blob,1669204174.286,0.007830471221720921
put,blob,cilrate/blob,1669204174.286,NaN
putBatch,blob,cilrate/blob,1669204174.286,0.006302261947590593
get,blob,cilrate/blob,1669204181.286,0.012443590862925728
put,blob,cilrate/blob,1669204181.286,NaN
putBatch,blob,cilrate/blob,1669204181.286,0.010598556964158581
get,blob,cilrate/blob,1669204188.286,0.012443590862925728
put,blob,cilrate/blob,1669204188.286,NaN
putBatch,blob,cilrate/blob,1669204188.286,0.010598556964158581
get,blob,cilrate/blob,1669204195.286,0.013547057247809762
put,blob,cilrate/blob,1669204195.286,NaN
putBatch,blob,cilrate/blob,1669204195.286,0.011869103192952372
get,blob,cilrate/blob,1669204202.286,0.013547057247809762
put,blob,cilrate/blob,1669204202.286,NaN
putBatch,blob,cilrate/blob,1669204202.286,0.011869103192952372
get,blob,cilrate/blob,1669204209.286,0.0081989037361983
put,blob,cilrate/blob,1669204209.286,NaN
putBatch,blob,cilrate/blob,1669204209.286,0.006869526131156451
get,blob,cilrate/blob,1669204216.286,0.0081989037361983
put,blob,cilrate/blob,1669204216.286,NaN
putBatch,blob,cilrate/blob,1669204216.286,0.006869526131156451
get,blob,cilrate/blob,1669204223.286,0.004406932159370831
put,blob,cilrate/blob,1669204223.286,NaN
putBatch,blob,cilrate/blob,1669204223.286,0.0035395859903071297
get,blob,cilrate/blob,1669204230.286,0.004406932159370831
put,blob,cilrate/blob,1669204230.286,NaN
putBatch,blob,cilrate/blob,1669204230.286,0.0035395859903071297
get,blob,cilrate/blob,1669204237.286,0.0024345336923076925
put,blob,cilrate/blob,1669204237.286,NaN
putBatch,blob,cilrate/blob,1669204237.286,0.0018466586645962217
get,blob,cilrate/blob,1669204244.286,0.0024345336923076925
put,blob,cilrate/blob,1669204244.286,NaN
putBatch,blob,cilrate/blob,1669204244.286,0.0018466586645962217
get,blob,cilrate/blob,1669204251.286,0.0024345336923076925
put,blob,cilrate/blob,1669204251.286,NaN
putBatch,blob,cilrate/blob,1669204251.286,0.0018466586645962217
get,blob,cilrate/blob,1669204258.286,0.0030221050145985396
put,blob,cilrate/blob,1669204258.286,NaN
putBatch,blob,cilrate/blob,1669204258.286,0.0020803367410226555
get,blob,cilrate/blob,1669204265.286,0.0030221050145985396
put,blob,cilrate/blob,1669204265.286,NaN
putBatch,blob,cilrate/blob,1669204265.286,0.0020803367410226555
get,blob,cilrate/blob,1669204272.286,0.007706112299090946
put,blob,cilrate/blob,1669204272.286,NaN
putBatch,blob,cilrate/blob,1669204272.286,0.005839305612521893
get,blob,cilrate/blob,1669204279.286,0.007706112299090946
put,blob,cilrate/blob,1669204279.286,NaN
putBatch,blob,cilrate/blob,1669204279.286,0.005839305612521893
get,blob,cilrate/blob,1669204286.286,0.013769650555731774
put,blob,cilrate/blob,1669204286.286,NaN
putBatch,blob,cilrate/blob,1669204286.286,0.011850844981930859
get,blob,cilrate/blob,1669204293.286,0.013769650555731774
put,blob,cilrate/blob,1669204293.286,NaN
putBatch,blob,cilrate/blob,1669204293.286,0.011850844981930859
get,blob,cilrate/blob,1669204300.286,0.01573884739175183
put,blob,cilrate/blob,1669204300.286,NaN
putBatch,blob,cilrate/blob,1669204300.286,0.013816175617220301
get,blob,cilrate/blob,1669204307.286,0.01573884739175183
put,blob,cilrate/blob,1669204307.286,NaN
putBatch,blob,cilrate/blob,1669204307.286,0.013816175617220301
get,blob,cilrate/blob,1669204314.286,0.011989771585975707
put,blob,cilrate/blob,1669204314.286,NaN
putBatch,blob,cilrate/blob,1669204314.286,0.010068390674727114
get,blob,cilrate/blob,1669204321.286,0.011989771585975707
put,blob,cilrate/blob,1669204321.286,NaN
putBatch,blob,cilrate/blob,1669204321.286,0.010068390674727114
get,blob,cilrate/blob,1669204328.286,0.005580996187753932
put,blob,cilrate/blob,1669204328.286,NaN
putBatch,blob,cilrate/blob,1669204328.286,0.0045889584567596455
get,blob,cilrate/blob,1669204335.286,0.005580996187753932
put,blob,cilrate/blob,1669204335.286,NaN
putBatch,blob,cilrate/blob,1669204335.286,0.0045889584567596455
get,blob,cilrate/blob,1669204342.286,0.0027458004505494502
put,blob,cilrate/blob,1669204342.286,NaN
putBatch,blob,cilrate/blob,1669204342.286,0.0020851965714285712
get,blob,cilrate/blob,1669204349.286,0.0027458004505494502
put,blob,cilrate/blob,1669204349.286,NaN
putBatch,blob,cilrate/blob,1669204349.286,0.0020851965714285712
get,blob,cilrate/blob,1669204356.286,0.0027458004505494502
put,blob,cilrate/blob,1669204356.286,NaN
putBatch,blob,cilrate/blob,1669204356.286,0.0020851965714285712
get,blob,cilrate/blob,1669204363.286,0.002342380454007731
put,blob,cilrate/blob,1669204363.286,NaN
putBatch,blob,cilrate/blob,1669204363.286,0.0017794915610546975
get,blob,cilrate/blob,1669204370.286,0.002342380454007731
put,blob,cilrate/blob,1669204370.286,NaN
putBatch,blob,cilrate/blob,1669204370.286,0.0017794915610546975
get,blob,cilrate/blob,1669204377.286,0.004442332494711539
put,blob,cilrate/blob,1669204377.286,NaN
putBatch,blob,cilrate/blob,1669204377.286,0.003415907744506643
get,blob,cilrate/blob,1669204384.286,0.004442332494711539
put,blob,cilrate/blob,1669204384.286,NaN
putBatch,blob,cilrate/blob,1669204384.286,0.003415907744506643
get,blob,cilrate/blob,1669204391.286,0.008944758827002014
put,blob,cilrate/blob,1669204391.286,NaN
putBatch,blob,cilrate/blob,1669204391.286,0.0076390221708521056
get,blob,cilrate/blob,1669204398.286,0.008944758827002014
put,blob,cilrate/blob,1669204398.286,NaN
putBatch,blob,cilrate/blob,1669204398.286,0.0076390221708521056
get,blob,cilrate/blob,1669204405.286,0.013931262801452782
put,blob,cilrate/blob,1669204405.286,NaN
putBatch,blob,cilrate/blob,1669204405.286,0.012404860134751772
get,blob,cilrate/blob,1669204412.286,0.013931262801452782
put,blob,cilrate/blob,1669204412.286,NaN
putBatch,blob,cilrate/blob,1669204412.286,0.012404860134751772
get,blob,cilrate/blob,1669204419.286,0.012061407705347832
put,blob,cilrate/blob,1669204419.286,NaN
putBatch,blob,cilrate/blob,1669204419.286,0.010626404608336266
get,blob,cilrate/blob,1669204426.286,0.012061407705347832
put,blob,cilrate/blob,1669204426.286,NaN
putBatch,blob,cilrate/blob,1669204426.286,0.010626404608336266
get,blob,cilrate/blob,1669204433.286,0.007729703060753237
put,blob,cilrate/blob,1669204433.286,NaN
putBatch,blob,cilrate/blob,1669204433.286,0.006412549774268692
get,blob,cilrate/blob,1669204440.286,0.007729703060753237
put,blob,cilrate/blob,1669204440.286,NaN
putBatch,blob,cilrate/blob,1669204440.286,0.006412549774268692
get,blob,cilrate/blob,1669204447.286,0.003858605527106715
put,blob,cilrate/blob,1669204447.286,NaN
putBatch,blob,cilrate/blob,1669204447.286,0.0030178831455505285
get,blob,cilrate/blob,1669204454.286,0.003858605527106715
put,blob,cilrate/blob,1669204454.286,NaN
putBatch,blob,cilrate/blob,1669204454.286,0.0030178831455505285
get,blob,cilrate/blob,1669204461.286,0.003858605527106715
put,blob,cilrate/blob,1669204461.286,NaN
putBatch,blob,cilrate/blob,1669204461.286,0.0030178831455505285
get,blob,cilrate/blob,1669204468.286,0.0027979086201889995
put,blob,cilrate/blob,1669204468.286,NaN
putBatch,blob,cilrate/blob,1669204468.286,0.0020938644530356723
get,blob,cilrate/blob,1669204475.286,0.0027979086201889995
put,blob,cilrate/blob,1669204475.286,NaN
putBatch,blob,cilrate/blob,1669204475.286,0.0020938644530356723
get,blob,cilrate/blob,1669204482.286,0.004446468480211244
put,blob,cilrate/blob,1669204482.286,NaN
putBatch,blob,cilrate/blob,1669204482.286,0.0035012907156559843
get,blob,cilrate/blob,1669204489.286,0.004446468480211244
put,blob,cilrate/blob,1669204489.286,NaN
putBatch,blob,cilrate/blob,1669204489.286,0.0035012907156559843
get,blob,cilrate/blob,1669204496.286,0.00925635491686844
put,blob,cilrate/blob,1669204496.286,NaN
putBatch,blob,cilrate/blob,1669204496.286,0.007768575858448893
